company_no,company_id,name,legal_form(if known),website,phone,whatsapp,telegram,vk,email,address,showroom_flag,production_flag,source_url,last_checked_date,search_rank,search_query_first_seen,search_queries_matched,rubrics,org_name,branch_count,rating,review_count,marketplace_links,status
120,70000001059175496,Каскад,,http://xn--26-8kcau7ab9c.xn--p1ai; https://wa.me/79889441333?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79889441333,https://wa.me/79889441333?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица 26 Июня, 31а",1,0,https://2gis.ru/rostov-on-don/firm/70000001059175496,2026-02-19,22,фасады для кухни,фасады для кухни,Мебельные фасады,"Каскад, торговая компания",2,,0,,ok
121,70000001019731523,Колибри,,http://kolibri-m.ru,+78632484681,,,,,"Тракторная улица, 54",1,0,https://2gis.ru/rostov-on-don/firm/70000001019731523,2026-02-19,23,производство кухонь,производство кухонь,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"Колибри, студия мебели",3,,0,,ok
122,70000001019822003,Здесь на заказ,,http://zdesnazakaz.ru; https://wa.me/79185580811?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78632980811; +79185580811,https://wa.me/79185580811?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"проспект Королёва, 32/36",1,1,https://2gis.ru/rostov-on-don/firm/70000001019822003,2026-02-19,23,фасады для кухни,фасады для кухни,Лаки и краски; Стеновые панели; Мебельные фасады,"Здесь на заказ, производственная компания",1,,0,,ok
123,70000001039797147,Мебель база юг,,http://mebelbaza1.ru; https://vk.com/mebeltorgyug; https://wa.me/79281240477?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79649396660?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79281240477; +79649396660,https://wa.me/79281240477?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79649396660?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/mebeltorgyug,,"Ворошиловский проспект, 2",1,0,https://2gis.ru/rostov-on-don/firm/70000001039797147,2026-02-19,23,шкафы и кухни на заказ,корпусная мебель; кухни массив; кухни недорого; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; шкафы и кухни на заказ,Мебельные магазины; Мебель для кухни; Мягкая мебель; Корпусная мебель,"Мебель база юг, магазин мебели",1,4.8,263,,ok
124,70000001064338837,ДСВ,,,+79081777288,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001064338837,2026-02-19,23,салон кухонь,салон кухонь,Мебель для кухни,"ДСВ, салон мебели",1,5,7,,ok
125,70000001102389007,Prime Realty,,https://t.me/+79366666977; https://wa.me/79366666977?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79366666977,https://wa.me/79366666977?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79366666977,,,"улица Текучёва, 244",1,0,https://2gis.ru/rostov-on-don/firm/70000001102389007,2026-02-19,23,мебель на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ,Агентства недвижимости; Помощь в оформлении ипотеки; Дизайн интерьеров; Оформление недвижимости; Оценка собственности; Юридические услуги; Инвестиционные компании; Клининг; Мебель на заказ; Ремонт помещений,"Prime Realty, агентство недвижимости",1,5,21,,ok
126,3378228002136064,Кардинал-Ростов,,http://kardinal-rostov.ru; https://vk.com/mebelnye_fasady_rostov; https://wa.me/79185303202?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79185303202,https://wa.me/79185303202?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/mebelnye_fasady_rostov,,"улица Доватора, 152а",1,0,https://2gis.ru/rostov-on-don/firm/3378228002136064,2026-02-19,24,фасады для кухни,фасады для кухни,Мебельные фасады; Мебель для кухни; Бытовая техника,"Кардинал-Ростов, торговая компания",1,5,13,,ok
127,70000001032840287,Терраса Люкс,,http://t.me/terrasaluxe; http://terrasaluxe.ru; https://t.me/+79281675097; https://vk.com/terrasaluxe; https://wa.me/79281675097?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79281966449?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78632688788; +79281675097; +79281966449,https://wa.me/79281675097?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79281966449?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/terrasaluxe; https://t.me/+79281675097,https://vk.com/terrasaluxe,,"улица Вавилова, 63а",1,1,https://2gis.ru/rostov-on-don/firm/70000001032840287,2026-02-19,24,мебель на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ,Мебельные магазины; Плетёные изделия; Садово-парковая мебель; Мебель на заказ,"Терраса Люкс, фабрика плетеной мебели",1,5,5,,ok
128,70000001052882967,Смирнов,,http://xn--90abjblwbchkuj8m.xn--p1ai; https://t.me/smirnovmebel; https://vk.com/mebelsmirnov; https://wa.me/79515004466?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79515004466,https://wa.me/79515004466?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/smirnovmebel,https://vk.com/mebelsmirnov,,"улица Доватора, 142в",1,0,https://2gis.ru/rostov-on-don/firm/70000001052882967,2026-02-19,24,производство кухонь,производство кухонь,Мебель для кухни; Корпусная мебель,"Смирнов, мебельная компания",1,,0,,ok
129,70000001064868318,Крепкий сон,,https://wa.me/79384314891?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79384314891,https://wa.me/79384314891?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Тимошенко, 7",1,0,https://2gis.ru/rostov-on-don/firm/70000001064868318,2026-02-19,24,корпусная мебель,корпусная мебель,Матрасы; Корпусная мебель,"Крепкий сон, торговая компания, склад",1,5,3,,ok
130,70000001098546921,Магазин столов и стульев,,http://t.me/natural_wood,+79034988334; +79614260705,,http://t.me/natural_wood,,,"улица Доватора, 142в",1,0,https://2gis.ru/rostov-on-don/firm/70000001098546921,2026-02-19,25,производство кухонь,производство кухонь,Мебель для кухни; Корпусная мебель; Мебель для общественного питания; Мебель на заказ,Магазин столов и стульев,1,,0,,ok
131,70000001101734966,BestMebel,,http://bestmebelshop.ru/?utm_source=2gis&utm_medium=cpc&utm_campaign=katalog&utm_content=button,+78005001387,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001101734966,2026-02-19,25,мебель на заказ,изготовление кухонь; корпусная мебель; кухни на заказ; кухни под заказ; мебель на заказ; шкафы и кухни на заказ,Мебельные магазины; Корпусная мебель; Мебель на заказ,"BestMebel, магазин мебели",1,5,8,,ok
132,3378229001964337,Lazurit,,http://rnd.lazurit.com; https://ok.ru/tdlazurit; https://vk.com/lazurit; https://youtube.com/channel/UCkdwUfBw5jbhd8YinxEkPaQ,+79614236446; +79632900471,,,https://vk.com/lazurit,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/3378229001964337,2026-02-19,26,корпусная мебель,корпусная мебель,Мебельные магазины; Корпусная мебель; Детская мебель; Мягкая мебель,"Lazurit, мебельный салон",5,4.9,45,,ok
133,70000001075767641,Крашенный фасад,,https://t.me/+79885879567; https://vk.com/id711780864; https://wa.me/79885879567?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79885879567,https://wa.me/79885879567?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79885879567,https://vk.com/id711780864,,"улица 26 Июня, 31а",1,0,https://2gis.ru/rostov-on-don/firm/70000001075767641,2026-02-19,26,фасады для кухни,фасады для кухни,Мебельные фасады,"Крашенный фасад, салон-магазин",1,,0,,ok
134,70000001110829366,Luman,,http://luman.turbo.site,+79889509990,,,,,"Локомотивная улица, 2л",1,0,https://2gis.ru/rostov-on-don/firm/70000001110829366,2026-02-19,26,мебель на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ,Оборудование для салонов красоты; Мебель на заказ,Luman,1,,0,,ok
135,3378228001518074,Фабрика мебельных фасадов,,http://www.fasad-rostov.ru; https://wa.me/79034018479?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79281545179?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79034018479; +79281545179,https://wa.me/79034018479?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A; https://wa.me/79281545179?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Щербакова, 80",1,1,https://2gis.ru/rostov-on-don/firm/3378228001518074,2026-02-19,27,фасады для кухни,фасады для кухни,Мебельные фасады,Фабрика мебельных фасадов,1,2,4,,ok
136,70000001019714058,AP home,,http://aphome.ru; http://jivo.chat/f0KjadiK7G; https://t.me/aphome_official; https://vk.com/aphome; https://wa.me/79381355474?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78003024239,https://wa.me/79381355474?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/aphome_official,https://vk.com/aphome,,"Михаила Нагибина проспект, 30л",1,0,https://2gis.ru/rostov-on-don/firm/70000001019714058,2026-02-19,27,корпусная мебель,корпусная мебель,Мебельные магазины; Мягкая мебель; Корпусная мебель,AP home,2,2.8,6,,ok
137,70000001096900826,Интерформа,,http://www.interform-a.ru,,,,,,"улица Текучёва, 139/94",1,0,https://2gis.ru/rostov-on-don/firm/70000001096900826,2026-02-19,27,салон кухонь,салон кухонь,Корпусная мебель; Мебель для кухни; Мягкая мебель; Детская мебель; Посуда,"Интерформа, салон мебели",2,5,1,,ok
138,3378228002094606,КДМ,,http://jivo.chat/aQiDidhRp5; http://kdm.ru; http://kdm.ru/shops/kdm-rostov-na-donu; http://rostov.kdm.ru/shops/kdm-rostov-na-donu; https://ok.ru/kdm.furnitura; https://t.me/kdm_furnitura; https://vk.com/furniturakdm; https://youtube.com/channel/UCmJxbjfFUC5bNDmtSeO_Ofg,+78007700854; +78632042547,,https://t.me/kdm_furnitura,https://vk.com/furniturakdm,,"Днепропетровская улица, 50д",1,1,https://2gis.ru/rostov-on-don/firm/3378228002094606,2026-02-19,28,фасады для кухни,фасады для кухни,Матрасы; Мебельная фурнитура; Мебельные фасады; Домашний текстиль,"КДМ, торгово-производственная компания",2,4.6,8,,ok
139,3378228002165701,ЛюксДекор,,http://kuhni-vrostove.ru; https://t.me/+79282268476; https://wa.me/79282268476?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79282268476,https://wa.me/79282268476?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79282268476,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/3378228002165701,2026-02-19,28,производство кухонь,производство кухонь; салон кухонь,Мебельные магазины; Мебель на заказ; Мебель для кухни; Корпусная мебель,"ЛюксДекор, салон мебели",1,4.3,16,,ok
140,70000001085361966,Титан-Гс,,http://rostov-na-donu.titangs.ru,+78633205279,,,,,"Сиверса проспект, 23",1,0,https://2gis.ru/rostov-on-don/firm/70000001085361966,2026-02-19,28,корпусная мебель,корпусная мебель,Корпусная мебель,"Титан-Гс, ООО",1,5,1,,ok
141,3378228002190264,Sweet Home,,http://www.sweethome-rostov.ru,+78632263480,,,,,"улица Вавилова, 63/1",1,0,https://2gis.ru/rostov-on-don/firm/3378228002190264,2026-02-19,29,корпусная мебель,корпусная мебель,Мягкая мебель; Детская мебель; Корпусная мебель,"Sweet Home, магазин",1,2.9,9,,ok
142,70000001006155037,Колибри,,http://kolibri-m.ru,+78632484681,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001006155037,2026-02-19,29,производство кухонь,производство кухонь,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"Колибри, студия мебели",3,,0,,ok
143,70000001028577496,Гардиан,,http://guardian-doz.ru; http://guardian.ru/mezhkomnatnye-dveri/; http://www.guardian.ru; https://t.me/+79014467575; https://t.me/guardian_ug; https://wa.me/79014467575?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79014467575,https://wa.me/79014467575?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79014467575; https://t.me/guardian_ug,,,"улица 26 Июня, 30",1,0,https://2gis.ru/rostov-on-don/firm/70000001028577496,2026-02-19,29,фасады для кухни,фасады для кухни,Межкомнатные двери; Мебельные фасады; Стеновые панели,"Гардиан, интерьерный центр",2,4.6,9,,ok
144,70000001019245742,Ангстрем,,http://angstrem-mebel.ru; https://vk.com/angstremmebel; https://wa.me/79066774907?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79601183385,https://wa.me/79066774907?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/angstremmebel,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001019245742,2026-02-19,30,производство кухонь,производство кухонь; салон кухонь,Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни; Мебель на заказ,"Ангстрем, фирменный салон",4,4.7,17,,ok
145,70000001034452846,Спектр фасады,,https://wa.me/79633883232?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79895160534,https://wa.me/79633883232?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Щербакова, 105а",1,0,https://2gis.ru/rostov-on-don/firm/70000001034452846,2026-02-19,30,фасады для кухни,фасады для кухни,Мебельные фасады,"Спектр фасады, компания",1,,0,,ok
146,3378229001963542,Много Мебели,,http://mnogomebeli.com/?utm_campaign=rostov_on_don&utm_source=2gis; https://ok.ru/group/54057515483235; https://t.me/mnogomebeliofficial; https://vk.com/mnogomebeliclub,+74951506633; +79281070298,,https://t.me/mnogomebeliofficial,https://vk.com/mnogomebeliclub,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/3378229001963542,2026-02-19,31,корпусная мебель,корпусная мебель,Мебельные магазины; Мягкая мебель; Корпусная мебель,"Много Мебели, мебельная компания",6,4.8,473,,ok
147,70000001018705012,Мебель маркет,,http://t.me/+DCjQgFULkg4yMzhi; https://t.me/+79287553100; https://vk.com/mebelmarketrostovnd; https://wa.me/79287553100?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79282267803; +79287553100,https://wa.me/79287553100?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/+DCjQgFULkg4yMzhi; https://t.me/+79287553100,https://vk.com/mebelmarketrostovnd,,"проспект Космонавтов, 2/2",1,0,https://2gis.ru/rostov-on-don/firm/70000001018705012,2026-02-19,31,салон кухонь,салон кухонь,Мебельные магазины; Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Детская мебель,"Мебель маркет, салон мебели",3,3.7,28,,ok
148,70000001020117398,ArtКm,,,,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001020117398,2026-02-19,31,производство кухонь,производство кухонь,Мебель на заказ; Корпусная мебель; Мебель для кухни,"ArtКm, студия",1,,0,,ok
